add,subadd,data
49,7,00001100
50,0,10000000
50,1,00001000
50,2,10001000
50,3,01000100
50,4,00000000
50,5,00000000
50,6,11111111
50,7,00001100
51,0,10000000
51,1,00001000
51,2,10001000
51,3,01000100
51,4,00000000
51,5,00000000
51,6,11111111
51,7,00001100
52,0,10000000
52,1,00001000
52,2,10001000
52,3,01000100
52,4,00000000
52,5,00000000
52,6,11111111
52,7,00001100
53,0,10000000
53,1,00001000
53,2,10001000
53,3,01000100
53,4,00000000
53,5,00000000
53,6,11111111
53,7,00001100
54,0,10000000
54,1,00001000
54,2,10001000
54,3,01000100
54,4,00000000
54,5,00000000
54,6,11111111
54,7,00001100
55,0,10000000
55,1,00001000
55,2,10001000
55,3,01000100
55,4,00000000
55,5,00000000
55,6,11111111
55,7,00001100
56,0,10000000
56,1,00001000
56,2,10001000
56,3,01000100
56,4,00000000
56,5,00000000
56,6,11111111
56,7,00001100
57,0,10000000
57,1,00001000
57,2,10001000
57,3,01000100
57,4,00000000
57,5,00000000
57,6,11111111
57,7,00001100
58,0,10000000
58,1,00001000
58,2,10001000
58,3,01000100
58,4,00000000
58,5,00000000
58,6,11111111
58,7,00001100
59,0,10000000
59,1,00001000
59,2,10001000
59,3,01000100
59,4,00000000
59,5,00000000
59,6,11111111
59,7,00001100
60,0,10000000
60,1,00001000
60,2,10001000
60,3,01000100
60,4,00000000
60,5,00000000
60,6,11111111
60,7,00001100
61,0,10000000
61,1,00001000
61,2,10001000
61,3,01000100
61,4,00000000
61,5,00000000
61,6,11111111
61,7,00001100
62,0,10000000
62,1,00001000
62,2,10001000
62,3,01000100
62,4,00000000
62,5,00000000
62,6,11111111
62,7,00001100
63,0,10000000
63,1,00001000
63,2,10001000
63,3,01000100
63,4,00000000
63,5,00000000
63,6,11111111
63,7,00001100
64,0,01000100
64,1,01000100
64,2,01000100
64,3,01000100
64,4,01000100
64,5,01000100
64,6,01000100
64,7,01000100
64,8,01000100
64,9,01000100
64,10,01000100
64,11,01000100
64,12,01000100
64,13,11111111
64,14,11111111
65,0,00100000
65,1,00000000
65,2,00000010
65,3,00001000
65,4,00100000
65,5,01000100
65,6,01000100
65,7,10001111
65,8,11111111
65,9,01000100
65,10,01000100
65,11,01000100
65,12,11100100
66,0,00010000
66,1,00010000
66,2,00010000
66,3,00010000
66,4,00010000
66,5,00010000
66,6,00010000
66,7,00010000
66,8,00010000
66,9,00010000
66,10,00010000
66,11,00010000
66,12,00010000
66,13,00010000
66,14,00010000
66,15,00010000
66,16,00010000
66,17,00010000
66,18,00010000
66,19,00010000
66,20,00010000
66,21,00010000
66,22,00010000
66,23,00010000
66,24,00010000
66,25,00010000
66,26,00010000
66,27,00010000
66,28,00010000
66,29,00010000
66,30,00010000
66,31,00010000
66,32,00010000
66,33,00010000
66,34,00010000
66,35,00010000
66,36,00010000
66,37,00010000
66,38,00010000
66,39,00010000
66,40,00010000
66,41,00010000
66,42,00010000
66,43,00010000
66,44,00010000
66,45,00010000
66,46,00010000
66,47,00010000
66,48,00010000
66,49,00010000
66,50,00010000
66,51,00010000
66,52,00010000
66,53,00010000
66,54,00010000
66,55,00010000
66,56,00010000
66,57,00010000
66,58,00010000
66,59,00010000
66,60,00010000
66,61,00010000
66,62,00010000
66,63,00010000
66,64,00100000
66,65,01000000
66,66,11111111
66,67,01000100
66,68,01000100
66,69,01000100
66,70,00011100
67,0,00000010
